보관소(대여소)명,상세주소,위도,경도
 망우지구대,서울특별시 중랑구 망우로 400,37.59877777,127.0963898
 중랑데시앙플렉스 앞,서울 중랑구 신내역로3길 40-36,37.61755371,127.1039963
 면목동 새싹어린이공원 앞,서울특별시 중랑구 동일로92길 57,37.58333206,127.0835495
 망우역 2번 출구,서울특별시 중랑구 중랑구 망우로55길 11-10(상봉동),37.60025406,127.091713
 방정환교육지원센터 옆,서울특별시 중랑구 중랑구 망우로 325(상봉동),37.59780884,127.0884476
 신내동 벽산아파트 후문 앞,서울특별시 중랑구 용마산로125길 50 벽산아파트,37.6030426,127.100502
 신내동 한살림 중랑지구 앞,서울특별시 중랑구 신내동 574-1,37.60428619,127.0973663
 신내동 한살림 중랑지구 건너편,서울특별시 중랑구 신내동 574-1,37.60446167,127.0974121
 상봉신협 앞,서울특별시 중랑구 봉우재로41길 6 청운명가프라임,37.59354401,127.0897903
 홈플러스 면목점,서울특별시 중랑구 동일로 540,37.57984543,127.0824204
 신내SK V1센터 앞,서울특별시 중랑구 중랑구 신내역로 111,37.6127243,127.11306
 용마복지센터 앞,서울특별시 중랑구 중랑구 용마산로 393,37.58686447,127.0953217
 망우동 본죽 앞,서울특별시 중랑구 망우로 467,37.60064316,127.1040497
 양원역 1번 출구,서울특별시 중랑구 망우동 253-18,37.60655212,127.1070862
 양원지구 힐데스하임 앞,서울특별시 중랑구 봉화산로 301,37.60924149,127.1062088
동원사거리 행복오피스텔 앞,서울특별시 중랑구 겸재로 240 행복오피스텔,37.58973694,127.0941925
 서울시 북부병원 앞,서울특별시 중랑구 양원역로 38 서울시북부병원 및 시립중랑노인전문요양원,37.60405731,127.107254
 신내 우디안 111동 앞,서울특별시 중랑구 신내역로1길 85 신내우디안1단지,37.61727142,127.1085434
중화수경공원,중랑구 중화동 381-3,37.60318375,127.0741348
면목라온프라이빗 아파트,중랑구 면목동197-4,37.58267593,127.0776596
봉화산역 4번 출구,중랑구 신내동629-2,37.61738586,127.0907822
신내역금강펜테리움센트럴파크,중랑구 망우동 611,37.60910034,127.1116028
 한성대입구역6번출구 뒤,서울특별시 성북구 동소문로 1 한성대입구역6번출구 뒤,37.58876419,127.0063095
 돈암초교 입구,서울특별시 성북구 동소문로13길 38 돈암초교,37.59169388,127.012497
 만해공원,서울특별시 성북구 성북로 132-1 만해공원,37.59440231,126.9923096
 성북구청,서울특별시 성북구 보문로 168 성북구청,37.58932877,127.0164337
 한성대입구역2번출구,서울특별시 성북구 동소문로 2 성북구 동소문동2가 2-3,37.58844757,127.0067062
 안암로터리 버스정류장 앞,서울특별시 성북구 안암로 69 안암로터리 버스정류장,37.58259201,127.0289764
 정릉꿈에그린1단지 201동 앞,서울특별시 성북구 아리랑로19길 20 성북구 정릉동 966-62,37.60243988,127.0116882
 고려사대부속중고 정문,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60776138,127.0032806
 고려사대부속중고 건너편,서울특별시 성북구 보국문로29길 23 성북구 정릉동 966-1,37.60726166,127.0028381
 길음역 3번출구 뒤,서울특별시 성북구 동소문로 248 동소문로248,37.60308456,127.0247879
 종암사거리 분수대,서울특별시 성북구 종암로 147 성북구 하월곡동 104-134,37.6030426,127.0332718
 국민은행 종암동지점 앞,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59328842,127.0366669
 래미안라센트아파트 103동 앞,서울특별시 성북구 종암로3길 37-2 성북구 종암동 12-33,37.59806824,127.0392761
 상월곡역 4번출구,서울특별시 성북구 화랑로 148 성북구 상월곡동 산7-1,37.60580826,127.0477371
 상월곡역 1번출구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 35-9,37.60606766,127.0473175
 상월곡역 3번출구,서울특별시 성북구 화랑로 지하 157 성북구 상월곡동 26-1,37.60734177,127.0506821
 월곡역 3번출구,서울특별시 성북구 월곡로 지하 107 성북구 하월곡동 37-4,37.6026268,127.0416336
 석계역 5번출구 건너편,서울특별시 노원구 화랑로 지하 347-1 성북구 석관동 134-4,37.61355591,127.0660934
 석관초등학교 앞,서울특별시 성북구 돌곶이로22길 21 성북구 석관동 202-3,37.61052322,127.0597992
 석관동주민센터 앞,서울특별시 성북구 화랑로 296 성북구 석관동 384-2,37.61299896,127.0613098
 성북3교 위,서울특별시 성북구 보문로 192 성북3교 위,37.59125137,127.0140076
 돈암성당 옆,서울특별시 성북구 인촌로7길 120 돈암성당 옆,37.59038162,127.0171356
 용문2교 옆,서울특별시 성북구 인촌로7길 24 용문2교 옆,37.5868988,127.020752
 삼성전자서비스 성북센터,서울특별시 성북구 월계로 28 삼성전자서비스 성북센터,37.610569,127.0335083
 광운초등학교 앞,서울특별시 성북구 장위동 134-27,37.61784363,127.0550003
 성북쉼터 앞,서울특별시 성북구 성북로21길 32 성북쉼터 앞,37.59261703,126.9979324
 한성대7번출구 앞,서울특별시 성북구 동소문로 11 한성대7번출구 앞,37.58924866,127.0073776
 아리랑시네센터 앞,서울특별시 성북구 아리랑로 82 아리랑시네센터 앞,37.60028839,127.0137024
 길음8골어린이공원 옆,서울특별시 성북구 길음로13길 22 길음8골어린이공원 옆,37.60897827,127.0202484
 길음래미안아파트817동 상가 앞,서울특별시 성북구 길음로 33 길음래미안아파트817동 상가 앞,37.60710526,127.0214996
 성북제일새마을금고 본점 앞,서울특별시 성북구 길음로 20 성북제일새마을금고 본점 앞,37.60475159,127.0227585
 월계2교 버스정류장 앞,서울특별시 성북구 한천로101길 18 월계2교 버스정유장 앞,37.62382889,127.0502014
 안암2교 옆,서울특별시 성북구 안암로 17 SK제삼주유소 앞,37.5794487,127.0241928
 e 편한세상 보문아파트 내,서울특별시 성북구 낙산길 255 e 편한세상 보문아파트 내,37.58388138,127.0170975
 금호어울림센터힐 내,서울특별시 성북구 동소문로34길 73 금호어울림센터힐 내,37.60083008,127.0235519
 고려대학교 2번출구,서울특별시 성북구 종암로 지하 1 고려대학교 2번출구,37.5907135,127.0361939
 보문2교,서울특별시 성북구 보문로30길 29 보문2교,37.58869934,127.0189133
 북한산보국문역,서울특별시 성북구 보국문로 91 북한산보국문역,37.61207199,127.0081329
 정릉도서관 앞,서울특별시 성북구 보국문로 7-10 정릉도서관 앞,37.60478973,127.010582
 정릉역,서울특별시 성북구 정릉로 272 정릉역,37.60309601,127.013504
 홍익중고 입구,서울특별시 성북구 성북동 142-1,37.59296799,127.0022354
 보문역6번출구 앞,서울특별시 성북구 보문로 112-2,37.58519745,127.0196686
 보문4교 인근,서울특별시 성북구 보문로22길 28 보문4교 인근,37.58375168,127.0219498
 성북동 치안센터 앞,서울특별시 성북구 성북로 25 성북동 치안센터 앞,37.59017181,127.0040894
 선잠단지 앞,서울특별시 성북구 성북로 102-10 선잠단지 앞,37.5933609,126.9990921
 일신초등학교 옆,서울특별시 성북구 월곡로 74 일신초등학교 옆,37.59972,127.0403824
 길음문화복합미디어센터,서울특별시 성북구 길음로7길 6 길음뉴타운9단지래미안 상가,37.60429764,127.0226135
 성신여대입구 교차로,서울특별시 성북구 보문로34길 87 성신여대입구 교차로,37.59139633,127.0201569
 복자사랑 피정의 집,서울특별시 성북구 성북로 132-4 복자사랑 피정의 집,37.59453964,126.9952087
 KEB은행 고대점,서울특별시 성북구 인촌로 113 KEB은행 고대점,37.58644485,127.031601
 성북구보건소 건너편,서울특별시 성북구 화랑로 63 성북구보건소 건너편,37.60235596,127.0390778
 생명의 전화 종합복지관 앞 교차로,서울특별시 성북구 오패산로 21 생명의 전화 종합복지관 앞 교차로,37.60390854,127.0373764
 한국과학기술연구원 중문,서울특별시 성북구 화랑로14길 5 한국과학기술연구원 정문,37.59730911,127.0437851
 한국과학기술연구원 북문,서울특별시 성북구 화랑로14길 5 한국과학기술연구원 후문,37.60418701,127.0454941
길음뉴타운푸르지오아파트 3단지,서울특별시 성북구 길음로13길 39 길음뉴타운,37.60929489,127.0184784
월곡역 5번출구 앞,서울특별시 성북구 하월곡동 96-248,37.60108566,127.0412369
석계역 4번출구 뒤,서울특별시 성북구 석관동 375-97,37.61478424,127.0670013
래미안월곡아파트 입구,서울특별시 성북구 하월곡동 225-5,37.60866547,127.0362701
성신여대입구역 5번출구,서울특별시 성북구 동소문동6가 140-5,37.59282684,127.0162888
성신여대입구역 3번출구 앞,서울특별시 성북구 동소문로 98 제일은행,37.59236526,127.0162888
동선고가차도 초입,서울특별시 성북구 동소문로 130,37.59415817,127.0189667
 돈암초교입구 버스정류장(한성대입구역 방면),서울특별시 성북구 동소문동3가 66-1,37.59088135,127.0117035
석관래미안아트리치,서울특별시 성북구 석관동 323-2,37.60646057,127.0616226
성북청소년센터,서울특별시 성북구 장위동 322-8,37.61688232,127.0560684
돈암삼성풍림아파트,서울특별시 성북구 돈암동 632-6,37.5970993,127.0226288
돈암육교 하단,서울특별시 성북구 돈암동 51-10,37.59818268,127.0211792
길음뉴타운 래미안9단지,서울특별시 성북구 정릉로 243,37.60242462,127.0199814
래미안장위포레카운티(102동),서울특별시 성북구 장위동 143-12,37.61817932,127.0518341
래미안장위퍼스트하이(513동),서울특별시 성북구 장위동 201-6,37.61844254,127.0514526
 장곡초등학교 앞,서울특별시 성북구 장위동 237-132,37.61745453,127.0484467
 돌곶이역 앞,서울특별시 성북구 화랑로 지하 243,37.61131287,127.0575943
 동산어린이공원 앞,서울특별시 성북구 성북구 하월곡동 96-78,37.60623932,127.0346603
 안암역 3번 출구,서울특별시 성북구 고려대로 104-1,37.58625031,127.0309525
 미아초교버스승강장,서울특별시 성북구 성북구 길음동 1261-535,37.61207962,127.0219803
 성북청소년문화의집,서울특별시 성북구 성북구 솔샘로 107,37.61566925,127.0087662
 종암동 동덕여대 제2생활관 앞,서울특별시 성북구 성북구 종암로 123,37.60108948,127.0333176
 성북구 한예종 캠퍼스 본관,서울특별시 성북구 화랑로32길 146-37 한국예술종합학교,37.60665131,127.0561829
 성북구 한예종 캠퍼스 별관,서울특별시 성북구 화랑로32길 146-20 문화재청의릉지구관리소,37.60289764,127.0584793
 롯데캐슬클라시아 입구 앞,서울특별시 성북구 길음동 1289-3,37.6069603,127.0260696
현대백화점 미아점,성북구 길음동 20-1,37.60884857,127.0284576
하늘채코오롱아파트 앞,성북구 돌곶이로 220,37.61924744,127.0455856
" 미아역 3번,4번 출구 사이","서울특별시 강북구 도봉로 196 미아역 3,4번 출구 사이",37.62607956,127.0264816
 강북구청사거리(수유역 8번출구),서울특별시 강북구 도봉로 355,37.63926315,127.0267258
 삼양시장오거리,서울특별시 강북구 삼양로 234 다이소 삼양시장점,37.62415695,127.0186234
 강북문화예술회관,서울특별시 강북구 삼각산로 85 강북문화예술회관,37.64032745,127.0133591
 서울북부수도사업소,서울특별시 강북구 한천로 935 번동 386-17,37.63437653,127.0357513
 번동주공5단지 관리사무소 앞,서울특별시 강북구 오현로25마길 27 번동 230,37.63371658,127.0355148
 번동 금호어울림아파트102동앞,서울특별시 강북구 오현로31길 85-7 번동 656-2,37.63112259,127.0360336
 강북중학교 앞,서울특별시 강북구 한천로150길 67 수유동 694-2,37.64473724,127.0265656
 강북구청 뒷편,서울특별시 강북구 도봉로89길 13 수유동 192-59,37.63967133,127.0251999
 강북구청 사거리 버스정류소 앞,서울특별시 강북구 한천로 1009 강북구청 사거리 버스정류소,37.63880539,127.0283585
 송천동 주민센터,서울특별시 강북구 솔샘로 284 송천동 주민센터,37.61828613,127.0240479
 우이초등학교 후문 옆,서울특별시 강북구 수유동 409-131,37.63858795,127.0159073
 수유2동은행빌딩 앞,서울특별시 강북구 삼양로 439 SK telecom(수유직영점),37.64308548,127.0161667
 장미원시장 건너편,서울특별시 강북구 삼양로 474 수유동 317-3,37.64545059,127.0156174
 수유중앙시장,서울특별시 강북구 노해로 50 수유동 140,37.63986206,127.022789
 미아동 복합청사,서울특별시 강북구 솔매로49길 14 미아동 195-1,37.62714005,127.0266953
 강북종합시장 앞,서울특별시 강북구 수유동 140 수유동 채선당앞,37.64173889,127.0246277
 미아역 1번 출구 뒤,서울특별시 강북구 미아동 194-1 미아역 1번 출구 뒤,37.62733459,127.0260544
 삼각산동 주민센터,서울특별시 미아동 813-8 삼각산동 주민센터,37.61503601,127.0206986
 미아동 한국전력공사,서울특별시 미아동 194-1 미아동 한국전력공사,37.63018036,127.02491
 광산사거리,서울특별시 강북구 노해로 87 광산사거리,37.64355087,127.0223465
 미아사거리 1번 출구,서울특별시 강북구 미아동 66-1 미아사거리 1번 출구,37.61395645,127.0302506
 번3동 주민센터 교차로,서울특별시 강북구 번동 2-2 번3동 주민센터 교차로,37.62635422,127.0474472
" 번동 주공3, 4단지 교차로","서울특별시 강북구 번동 254 번동 주공3, 4단지 교차로",37.62991714,127.0409164
 효성인텔리안 앞,서울특별시 수유동 230-7 효성인텔리안 앞,37.6362915,127.0233765
 번동 두산위브 101동 옆,서울특별시 번동 386-17 번동 두산위브 101동 옆,37.63626099,127.0321732
 북한산 우이역,서울특별시 강북구 삼양로 670 북한산 우이역,37.66366577,127.0124283
 솔밭공원역,서울특별시 강북구 삼양로 595 솔밭공원역,37.65615845,127.0131378
4.19민주묘지역,서울특별시 강북구 삼양로 519 4.19민주묘지역,37.64967346,127.0134506
 가오리역,서울특별시 강북구 삼양로 426 가오리역,37.64167023,127.0168839
 삼양역,서울특별시 강북구 삼양로 263 삼양역,37.62652969,127.0180588
 삼양사거리역,서울특별시 강북구 삼양로 197 삼양사거리역,37.62155151,127.0203705
 수유1동 주민센터,서울특별시 강북구 삼양로 299 수유1동 주민센터,37.63018799,127.0177383
 송천동우체국,서울특별시 강북구 도봉로 71 송천동우체국,37.61545944,127.0297012
 꿈의숲 롯데캐슬,서울특별시 강북구 오현로 56 꿈의숲 롯데캐슬 111동 인근,37.61775208,127.0357056
 북서울 꿈의숲 서문,서울특별시 강북구 월계로 173 북서울 꿈의숲 서문,37.62268829,127.0378113
삼각산아이원아파트(105동 옆),서울특별시 강북구 삼양로19길 113 삼각산아이원아파트,37.61522293,127.0185089
4.19탑 앞,서울특별시 강북구 수유동 567-55,37.64686203,127.008812
 강북구청사거리,서울특별시 강북구 도봉로 358 코스타타워,37.63920212,127.0272369
서울북부고용노동지청,서울특별시 강북구 덕릉로 176 예수그리스도 후기성도교회,37.63520432,127.0339661
번동사거리,서울특별시 강북구 번동 430-76,37.63539124,127.0345535
신창교,서울특별시 강북구 번동 612-3,37.63238144,127.0393066
강북문화정보도서관,서울특별시 강북구 번동 139-5,37.62552643,127.037323
 도봉세무서 앞,서울특별시 강북구 도봉로 117 도봉세무서,37.6198082,127.0285263
4.19민주묘지역 1번출구,서울특별시 강북구 삼양로 522,37.64959717,127.0138474
수유사거리,서울특별시 강북구 수유동 45-33,37.63561249,127.022995
4.19민주묘지 입구사거리,서울특별시 강북구 삼양로 504 광리빌딩,37.64793396,127.0145721
수유역2번출구,서울특별시 강북구 도봉로 342,37.63796997,127.0259018
북서울 꿈의 숲 입구,서울특별시 강북구 오현로20길 46,37.62673187,127.0387726
 우이동 먹거리마을,서울특별시 강북구 우이동 207-14,37.66446304,127.0118408
현대성우아파트 옆,서울특별시 강북구 삼양로24길 19 현대성우아파트,37.61666489,127.02211
송중초등학교 옆,서울특별시 강북구 미아동 98-5,37.61669922,127.0304947
삼양입구삼거리,서울특별시 강북구 솔샘로 326 대한예수교장로회 신성교회,37.61708832,127.0280991
 드래곤타워 앞,서울특별시 강북구 도봉로 348-1 구두수선대-15,37.63713455,127.0313797
 송천센트레빌,서울특별시 강북구 미아동 461-4,37.61220932,127.0249786
번동3단지 버스정류장,서울특별시 강북구 서울 강북구 번동 255도,37.628685,127.0439072
 우이천 창번교,서울특별시 강북구 번동 655-8,37.63536072,127.037674
삼양동주민센터 앞,강북구 솔매로69,37.62491226,127.0197907
강북 청소년 문화정보도서관 앞,강북구 삼양로54길 68,37.62302017,127.0218658
삼양동사거리,강북구 삼양로 163-1,37.61792755,127.0213623
 녹천역 1번출구 앞,서울특별시 도봉구 창동 426-6,37.64582062,127.0504227
 도봉산광역환승센터앞,서울특별시 도봉구 도봉로 955 도봉동 637-1,37.68972015,127.0451965
 도봉구청 정문앞,서울특별시 도봉구 마들로 656 방학동 720,37.66922379,127.0465164
 방학동우체국 건너편,서울특별시 도봉구 도봉로 683 방학동 726-92,37.66566467,127.0426712
 도봉구민회관,서울특별시 도봉구 도봉로 552 창동 723-11,37.65446091,127.0385132
 도봉보건소사거리,서울특별시 도봉구 해등로 150 창동 723-10,37.65682983,127.0398483
 쌍문역4번출구 주변,서울특별시 도봉구 도봉로 지하 486-1 쌍문동 83-5,37.65012741,127.035347
 쌍문동 이안아파트 앞,서울특별시 도봉구 쌍문동 315-488,37.65165329,127.0284882
 도봉문화정보도서관 삼거리,서울특별시 도봉구 덕릉로 315 도봉문화정보도서관 삼거리,37.64463043,127.0446091
 서울특별시교육청도봉도서관,서울특별시 도봉구 삼양로556 서울특별시교육청도봉도서관,37.65317917,127.0127869
 창동역 1번출구 건너편,서울특별시 도봉구 마들로11길 20 하나로마트 창동점,37.65420151,127.0507278
 신도봉사거리 버스정류장,서울특별시 도봉구 도봉로 771 신도봉사거리 버스정류장,37.67328262,127.0439911
 도봉구청 옆(중랑천변),서울특별시 도봉구 마들로 656 도봉구청 옆(중랑천변),37.66867065,127.0479813
 창동역 2번출구,서울특별시 창동 74-2 창동역 2번출구,37.65301514,127.0469971
 창동청소년수련관,서울특별시 도봉구 노해로69길 132 창동청소년수련관,37.65779877,127.0500488
 방학동학마을도서관,서울특별시 도봉구 시루봉로 128 방학동학마을도서관,37.66207886,127.0277176
 창1동주민센터,서울특별시 도봉구 해등로 46 창1동주민센터,37.6475029,127.0433121
 삼익세라믹아파트교차로,서울특별시 도봉구 해등로 189 삼익세라믹아파트,37.65858841,127.0352097
 서울도봉초등학교인근,서울특별시 도봉구 도봉로173길 96 서울도봉초등학교인근,37.67867661,127.0407639
 서울북부지방법원,서울특별시 도봉구 마들로 749 서울북부지방법원,37.67771912,127.046814
 도봉한신아파트 버스정류장,서울특별시 도봉구 도봉로 891 파리바게트앞,37.68400955,127.0457916
 도봉산역 교차로 앞,서울특별시 도봉구 도봉산길 10 도봉산역 교차로 앞,37.68759155,127.0455017
 도봉고등학교 맞은편,서울특별시 도봉구 도봉동 282-16,37.6876297,127.0422134
 방학역사거리,서울특별시 도봉구 도봉로 707 우리은행 앞,37.66759872,127.0429993
 방학사거리 (봄마당 앞),서울특별시 도봉구 방학로 102 방학사거리 (봄마당 앞),37.66297913,127.0419388
 쌍문현대1차아파트 108동 앞,서울특별시 도봉구 해등로 218 쌍문현대1차아파트 108동 앞,37.65814972,127.0326691
" 도봉역 1,2번 출구사이 건너편","서울특별시 도봉구 도봉로170길 2 도봉역 1,2번 출구사이 건너편",37.67911911,127.0449829
 버스정류장 앞,서울특별시 도봉구 도봉로 528 버스정류장 앞,37.65224075,127.0370636
 신창시장,서울특별시 도봉구 덕릉로 249 하나은행 (창동점),37.63970184,127.0388336
 창동주공17단지 상가앞,서울특별시 도봉구 덕릉로 404 창동주공17단지 상가앞,37.6463089,127.052742
 제일강산수산입구,서울특별시 도봉구 도봉로 444 제일강산수산입구,37.64519882,127.0329819
 북한산 코오롱 하늘채,서울특별시 도봉구 우이천로 367 북한산 코오롱 하늘채,37.64889145,127.0230179
창동19단지아파트 관리사무소앞,서울특별시 도봉구 노해로70길 37 주공19단지아파트,37.65039062,127.0521927
도봉소방서 옆,서울특별시 도봉구 도봉로 678 홈플러스데스코㈜방학점,37.66480255,127.0430298
 ESA아파트 상가 앞,서울특별시 도봉구 도봉로150길 43 ESA 아파트,37.66627121,127.04599
 창포원 남쪽 입구,서울특별시 도봉구 마들로 916 방문자센터,37.68826675,127.0488968
 창원초등학교 교차로,서울특별시 도봉구 해등로12길 44 주공2단지아파트,37.6521225,127.0417023
 창동 주공 4단지 입구 옆,서울특별시 도봉구 덕릉로 357 주공4단지아파트,37.64548111,127.0485764
 창동시장입구 사거리,서울특별시 도봉구 도봉로 461 우림빌딩,37.64689636,127.033432
서울북부광역등기국,서울특별시 도봉구 노해로 327,37.65148544,127.0443192
솔밭공원역 1번출구 앞,서울특별시 도봉구 삼양로 590,37.65568542,127.013382
솔밭공원역 1번출구 주변,서울특별시 도봉구 삼양로 610 산수디앤씨,37.65727997,127.0137558
서울북부지방법원 앞,서울특별시 도봉구 마들로 749 서울북부지방법원,37.67721939,127.0486374
방학중학교 앞,서울특별시 도봉구 시루봉로 188 방학중학교,37.66562271,127.0310898
북한산 한신휴플러스APT앞,서울특별시 도봉구 도봉로136가길 73 북한산한신휴플러스아파트,37.65533829,127.0424194
쌍문역 1번출구 주변,서울특별시 도봉구 도봉로 496,37.64966965,127.035614
방학초등학교 앞,서울특별시 도봉구 방학동 726-127,37.66250992,127.0332794
신동아타워 버스정류소,서울특별시 도봉구 방학로 217-1,37.66208267,127.0287476
도봉한신아파트 주변,서울특별시 도봉구 도봉동 646-1,37.68473816,127.0500412
성원APT버스정류소,서울특별시 도봉구 해등로 242-18 현대아파트,37.65796661,127.0300903
시립도봉노인복지관 버스정류소,서울특별시 도봉구 쌍문동 45-13,37.65805054,127.035759
정의여중고 버스정류소,서울특별시 도봉구 쌍문동 83-2,37.65134811,127.034729
신원리베르텔 앞,서울특별시 도봉구 창동 339,37.65128708,127.0455475
 창동한신아파트 버스정류소,서울특별시 도봉구 도봉로110길 25 맞은편,37.64601898,127.0352707
 다락원체육공원 전망대 입구,서울특별시 도봉구 도봉구 도봉동 1-22,37.69101334,127.0491638
 평화도봉공원 주변,서울특별시 도봉구 방학동 710,37.66252136,127.0427094
 신창아파트 입구 앞,서울특별시 도봉구 도봉구 덕릉로62길 14,37.64051056,127.0408249
 창동역 1번출구 앞,서울특별시 도봉구 도봉구 창동 1-12,37.65373611,127.0492935
방아골종합사회복지관,서울특별시 도봉구 방학동 606-5,37.66927338,127.0324326
 도봉구육아종합지원센터(창동),서울특별시 도봉구 도봉구 우이천로4길 24-5,37.63342667,127.0411606
 도봉통합복지센터 뒤 중랑천 변,서울특별시 도봉구 창동,37.65999603,127.0512772
 도봉제1교,서울특별시 도봉구 도봉동 86-1,37.67984772,127.0503845
 원당공원 앞,서울특별시 도봉구 도봉구 쌍문동 250-6,37.65854645,127.0276794
 창동주공19단지앞,서울특별시 도봉구 도봉시 노해로 70길 19 1905동 앞 ( 도봉경찰서 건너편) 버스정류장 쯤에 희망합니다 (분명 설치예정팻말이 붙어있었는데 아직도 시행안됨),37.65250778,127.0522766
도봉아이나라도서관 앞,서울특별시 도봉구 창동 808-3,37.65898895,127.049736
 도봉동실내스포츠센터,서울특별시 도봉구 도봉구 마들로 805 (도봉동실내스포츠센터 앞),37.68125534,127.0504761
 도봉로 534,서울특별시 도봉구 도봉로 534,37.6529541,127.0375443
 우이교 교차로,서울특별시 도봉구 도봉로 420,37.6432457,127.031601
김근태도서관,서울특별시 도봉구 도봉동 282-275,37.68750763,127.0426331
 동부센트레빌 앞,서울특별시 도봉구 방학로 131-1 구두수선대,37.66299057,127.0386429
녹천교 앞 사거리,창동36(녹천교앞사거리 17단지쪽),37.64564514,127.054596
방학역2번출구,방학동719-2,37.66922379,127.0444183
도봉경찰서 교차로,창동36,37.65265656,127.053093
도봉여성센터,방학로12길 28(후문 마당),37.66334915,127.0304565
방학브라운스톤아파트,도봉로146길 36,37.66289139,127.0454025
 석계역 문화광장 내 자전거 보관소,서울특별시 노원구 화랑로 331,37.61518097,127.0646439
 광운대역 앞,서울특별시 노원구 석계로 98-2 노원구 월계동 412-1,37.62266159,127.0618973
 헬스케어,서울특별시 노원구 월계로 378 노원구 월계동 321-4,37.63162231,127.061615
 태릉입구역 3번출구,서울특별시 노원구 동일로 지하 992-1 노원구 공릉동 616-4,37.61917114,127.0749283
 공릉역 1번 출구 앞,서울특별시 노원구 동일로 지하 1074 노원구 공릉동 385-4,37.62661362,127.0727539
 화랑대역 2번출구 앞,서울특별시 노원구 화랑로 지하 510 노원구 공릉동 280-12,37.62036896,127.0836411
 과기대 입구(우),서울특별시 노원구 공릉로 232 노원구 공릉동 436-4,37.62994003,127.0765533
 하계2동 공항버스정류장 옆,서울특별시 노원구 동일로 지하 1196 노원구 하계동 273-5,37.63510895,127.0683289
 하계동 중평어린이공원 앞,서울특별시 노원구 섬밭로 241 하계동 271-1,37.63714981,127.0632706
 중계동 하나프라자빌딩 앞(중1-1),서울특별시 노원구 한글비석로 235 노원구 중계동 391,37.64902115,127.0764084
 중계동 노원구민체육센터 옆(중1-2),서울특별시 노원구 노원로22길 1 노원구 중계1동 360-18,37.64820862,127.070221
상계역 3번출구,서울특별시 노원구 상계로 182 노원구 상계동 173-19,37.65999985,127.0729675
 수락산역 4번출구,서울특별시 노원구 동일로 지하 1662 노원구 상계동 1263,37.67694092,127.0550995
 노일초등학교 앞,서울특별시 노원구 동일로 1652 노원구 상계동 1118-9,37.67361832,127.0552521
 수연빌딩 앞,서울특별시 노원구 동일로 지하 1662 노원구 상계동 1132-9,37.67625046,127.0555039
 당고개공원 대여소,서울특별시 노원구 상계동 1355-2,37.66846085,127.0771484
 상계3.4동 주민센터 대여소,서울특별시 노원구 덕릉로131길 8 노원구 상계동 37-7,37.67271042,127.0831604
 상계주공2단지 버스정류장 옆,서울특별시 노원구 동일로 1351 노원구 상계동 747,37.64921188,127.0617676
 KT 전화국 버스정류장 옆,서울특별시 노원구 노해로 489 노원구 상계동 719-1,37.65470123,127.0634003
 희성오피앙,서울특별시 노원구 동일로 1701 노원구 상계동 1263,37.68031311,127.055069
 한내근린공원 북측,서울특별시 노원구 마들로 86 한내근린공원 북측,37.62386322,127.0684891
 한내근린공원 남측,서울특별시 노원구 마들로 86 한내근린공원 남측,37.62155533,127.0695114
 서울여대 남문,서울특별시 노원구 화랑로 621 서울여자대학교 서울여대 후문,37.62531662,127.0881348
 태릉입구역 8번출구,서울특별시 노원구 공릉동 687-6 태릉입구역 8번출구,37.61736679,127.0752106
 삼육대 입구,서울특별시 노원구 공릉동 26-43 삼육대 입구,37.63848877,127.1079025
 중계근린공원내,서울특별시 노원구 중계동 506-3 중계근린공원내,37.63957977,127.0651016
 상계동 우방유쉘아파트 앞,서울특별시 노원구 상계동 1118-9 맥도날드 상계점 앞,37.67237473,127.0559921
 파르코 앞,서울특별시 노원구 상계동 1263 파르코 앞,37.68000031,127.0555801
 노원역1번출구,서울특별시 노원구 상계동 335-4 노원역1번출구,37.65620041,127.0636215
 당고개입구 오거리,서울특별시 노원구 상계동 172-2 보훈회관 대여소,37.66379166,127.0754471
 공릉1단지아파트,서울특별시 동일로 1127 공릉1단지아파트,37.63111115,127.0701599
 중앙하이츠 아파트 입구,서울특별시 노원구 노원로 434 상계2차중앙하이츠아파트,37.65501785,127.0675049
 노원구청,서울특별시 노원구 노해로 437 노원구청,37.65404892,127.0573273
 중계동 을지중학교,서울특별시 노원구 중계동 370 중계동 을지중학교,37.65032959,127.0716019
 서울시립과학관,서울특별시 노원구 하계동 266 서울시립과학관,37.64207077,127.076622
 당현천근린공원,서울특별시 노원구 동일로 1342 당현천근린공원,37.64963913,127.0656052
 노원역7번출구,서울특별시 노원구 노해로 459 메가빌딩,37.65421677,127.0592117
 동해문화예술관앞,서울특별시 노원구 화랑로 429 동해문화예술관앞,37.61938095,127.0578537
 노해근린공원내,서울특별시 노원구 노원로22길 1 노해근린공원내,37.64936066,127.0704422
 양지근린공원앞,서울특별시 노원구 한글비석로 227 양지근린공원앞,37.64699554,127.0764008
 노원소방서인근,서울특별시 노원구 노원로26길 111 노원소방서인근,37.65578079,127.0717773
 중계중학교,서울특별시 노원구 덕릉로76길 23 중계중학교,37.65449905,127.0743866
 중계역 6번출구,서울특별시 노원구 동일로 지하 1308-1 중계역 6번출구,37.64556503,127.0633469
